mouse_id,group,unit_id,duration,half_width_duration,peak_amplitude_asymmetry,peak_to_trough_ratio,duration_between_peaks,one_minus_left_peak,area_after_min,repolarization_slope,firing_rate
F3876,saline,58,0.7333333333333334,0.2,0.20290485426469562,0.25014359807558284,1.1666666666666667,0.37693095207214355,16.892292268574238,0.3132468064626058,1.7615384615384615
F3876,saline,66,0.7333333333333334,0.2,0.20290485426469562,0.25014359807558284,1.1666666666666667,0.37693095207214355,16.892292268574238,0.3132468064626058,0.28307692307692306
F3876,saline,72,0.7333333333333334,0.2,0.2853765097642843,0.26468073981291357,1.1333333333333333,0.3533119559288025,20.466540932655334,0.36622190475463867,2.164615384615385
F3876,saline,80,0.7333333333333334,0.2,0.2853765097642843,0.26468073981291357,1.1333333333333333,0.3533119559288025,20.466540932655334,0.36622190475463867,1.0461538461538462
F3876,saline,104,0.8666666666666666,0.2,0.19897276585915877,0.26500899180437754,1.3,0.33811867237091064,18.538961596786976,0.2670259816305978,6.638461538461539
F3876,saline,109,0.8666666666666666,0.2,0.19897276585915877,0.26500899180437754,1.3,0.33811867237091064,18.538961596786976,0.2670259816305978,7.983076923076923
F3876,saline,110,0.8666666666666666,0.2,0.19897276585915877,0.26500899180437754,1.3,0.33811867237091064,18.538961596786976,0.2670259816305978,2.6215384615384614
F3876,saline,114,0.8666666666666666,0.2,0.16888396971413228,0.26306182678059287,1.3,0.2832067012786865,18.871283025480807,0.2947830420274001,6.487692307692308
F3876,saline,120,0.8666666666666666,0.2,0.16888396971413228,0.26306182678059287,1.3,0.2832067012786865,18.871283025480807,0.2947830420274001,9.330769230769231
F3876,saline,131,0.6333333333333333,0.23333333333333334,0.2000744330870281,0.3151143035589754,1.1666666666666667,0.3259968161582947,16.5735917519778,0.32088723182678225,0.38769230769230767
F3876,saline,135,0.6333333333333333,0.23333333333333334,0.2000744330870281,0.3151143035589754,1.1666666666666667,0.3259968161582947,16.5735917519778,0.32088723182678225,0.2815384615384615
F3876,saline,158,0.8333333333333334,0.2,0.16692134238579734,0.2680223551924187,1.1333333333333333,0.3917109966278076,15.486399756744504,0.2270735161645072,4.7153846153846155
F3876,saline,170,0.7333333333333334,0.2,0.19764043058382935,0.2870289205700644,1.1333333333333333,0.2544362545013428,18.469342097640038,0.3230987588564555,17.998461538461537
