mouse_id,group,unit_id,cluster,cluster_label,duration,half_width_duration,peak_amplitude_asymmetry,peak_to_trough_ratio,duration_between_peaks,one_minus_left_peak,area_after_min,repolarization_slope,firing_rate
F3876,saline,58,0,Putative Excitatory Unit,0.7333333333333334,0.2,0.2029048542646956,0.2501435980755828,1.1666666666666667,0.3769309520721435,16.892292268574238,0.3132468064626058,1.7615384615384615
F3876,saline,66,0,Putative Excitatory Unit,0.7333333333333334,0.2,0.2029048542646956,0.2501435980755828,1.1666666666666667,0.3769309520721435,16.892292268574238,0.3132468064626058,0.283076923076923
F3876,saline,72,0,Putative Excitatory Unit,0.7333333333333334,0.2,0.2853765097642843,0.2646807398129135,1.1333333333333333,0.3533119559288025,20.46654093265533,0.3662219047546386,2.164615384615385
F3876,saline,80,0,Putative Excitatory Unit,0.7333333333333334,0.2,0.2853765097642843,0.2646807398129135,1.1333333333333333,0.3533119559288025,20.46654093265533,0.3662219047546386,1.0461538461538462
F3876,saline,104,0,Putative Excitatory Unit,0.8666666666666666,0.2,0.1989727658591587,0.2650089918043775,1.3,0.3381186723709106,18.538961596786976,0.2670259816305978,6.638461538461539
F3876,saline,109,0,Putative Excitatory Unit,0.8666666666666666,0.2,0.1989727658591587,0.2650089918043775,1.3,0.3381186723709106,18.538961596786976,0.2670259816305978,7.983076923076923
F3876,saline,110,0,Putative Excitatory Unit,0.8666666666666666,0.2,0.1989727658591587,0.2650089918043775,1.3,0.3381186723709106,18.538961596786976,0.2670259816305978,2.6215384615384614
F3876,saline,114,0,Putative Excitatory Unit,0.8666666666666666,0.2,0.1688839697141322,0.2630618267805928,1.3,0.2832067012786865,18.871283025480807,0.2947830420274001,6.487692307692308
F3876,saline,120,0,Putative Excitatory Unit,0.8666666666666666,0.2,0.1688839697141322,0.2630618267805928,1.3,0.2832067012786865,18.871283025480807,0.2947830420274001,9.330769230769231
F3876,saline,131,0,Putative Excitatory Unit,0.6333333333333333,0.2333333333333333,0.2000744330870281,0.3151143035589754,1.1666666666666667,0.3259968161582947,16.5735917519778,0.3208872318267822,0.3876923076923076
F3876,saline,135,0,Putative Excitatory Unit,0.6333333333333333,0.2333333333333333,0.2000744330870281,0.3151143035589754,1.1666666666666667,0.3259968161582947,16.5735917519778,0.3208872318267822,0.2815384615384615
F3876,saline,158,0,Putative Excitatory Unit,0.8333333333333334,0.2,0.1669213423857973,0.2680223551924187,1.1333333333333333,0.3917109966278076,15.486399756744504,0.2270735161645072,4.715384615384616
F3876,saline,170,0,Putative Excitatory Unit,0.7333333333333334,0.2,0.1976404305838293,0.2870289205700644,1.1333333333333333,0.2544362545013428,18.46934209764004,0.3230987588564555,17.998461538461537
F3876,saline,172,0,Putative Excitatory Unit,0.7333333333333334,0.2,0.1976404305838293,0.2870289205700644,1.1333333333333333,0.2544362545013428,18.46934209764004,0.3230987588564555,20.701538461538465
F3876,saline,180,0,Putative Excitatory Unit,0.7666666666666667,0.2333333333333333,0.1846367452351953,0.286576140673706,1.2333333333333332,0.337272584438324,17.382900651544333,0.2799933552742004,0.7615384615384615
F3876,saline,186,0,Putative Excitatory Unit,0.8333333333333334,0.2,0.0825415406183197,0.2435487526152322,1.2333333333333332,0.2186816930770874,17.14142352156341,0.2911768876589261,4.2846153846153845
F3876,saline,192,0,Putative Excitatory Unit,0.6333333333333333,0.2333333333333333,0.1935298947607783,0.3311366420361641,1.1666666666666667,0.2755581736564636,17.551049172878265,0.3237735033035278,0.4430769230769231
F3876,saline,196,0,Putative Excitatory Unit,0.7666666666666667,0.2,0.2023040985550674,0.2810888379854204,1.2,0.2308216094970703,20.87296009249985,0.3436997334162394,6.775384615384615
F3876,saline,200,0,Putative Excitatory Unit,0.8666666666666666,0.3,0.1380128076194811,0.3521466682077985,1.4666666666666668,0.2027680873870849,20.71244904026389,0.2490727305412292,1.2538461538461538
F3876,saline,206,0,Putative Excitatory Unit,0.7333333333333334,0.1333333333333333,0.2612610230442773,0.2251976714299841,1.1666666666666667,0.3938546180725097,19.35731710493565,0.38295312722524,3.0246153846153847
F3876,saline,212,0,Putative Excitatory Unit,0.7333333333333334,0.1333333333333333,0.2612610230442773,0.2251976714299841,1.1666666666666667,0.3938546180725097,19.35731710493565,0.38295312722524,14.476923076923075
F3876,saline,215,1,Putative Inhibitory Unit,0.6666666666666666,0.1,0.5843001667026952,0.2228266062357062,1.1,0.4088465571403503,38.07365474104881,1.0110922813415528,0.9507692307692308
F3876,saline,219,1,Putative Inhibitory Unit,0.8666666666666666,0.1666666666666666,0.2157623924240152,0.2612953422251162,1.1333333333333333,-0.54240882396698,43.698796197772026,0.6536433356148856,1.8753846153846156
F3876,saline,223,1,Putative Inhibitory Unit,0.8333333333333334,0.1333333333333333,0.0713945626732805,0.1887130308085169,1.1,-0.7587445974349976,40.24004342406988,0.8271337655874399,1.5215384615384615
F3876,saline,232,1,Putative Inhibitory Unit,0.3,0.0666666666666666,0.94566977244392,0.2951659520528338,0.6333333333333333,0.9574673175811768,16.874468199908733,1.290102243423462,2.0
F3876,saline,234,0,Putative Excitatory Unit,0.8333333333333334,0.1333333333333333,-0.2528870783513627,0.1645556539309202,0.9666666666666668,-0.6935344934463501,20.18089072406292,0.4383565698351179,1.0892307692307692
F3876,saline,236,0,Putative Excitatory Unit,0.8333333333333334,0.1666666666666666,0.1768120514077067,0.2038560479120578,1.2333333333333332,-0.167732834815979,33.36942991614342,0.6299189054048978,3.4692307692307693
F3876,saline,240,1,Putative Inhibitory Unit,0.6666666666666666,0.1,0.7152541086426782,0.2382577850706598,0.8666666666666666,0.5078345239162445,48.358926225453615,1.244328498840332,10.05076923076923
